feature	type	cluster	regulation
hsa-mir-122		LIHC	--
hsa-mir-125a	TS	LIHC	--
hsa-mir-125b-1		LIHC	--
hsa-mir-125b-2		LIHC	--
hsa-mir-126		LIHC	--
hsa-mir-130a		LIHC	--
hsa-mir-135a-1		LIHC	++
hsa-mir-135a-2		LIHC	++
hsa-mir-139	TS	LIHC	--
hsa-mir-141		LIHC	--
hsa-mir-142		LIHC	--
hsa-mir-144	TS	LIHC	--
hsa-mir-145	TS	LIHC	--
hsa-mir-150		LIHC	--
hsa-mir-182	O	LIHC	++
hsa-mir-183	O	LIHC	++
hsa-mir-194-1		LIHC	--
hsa-mir-194-2		LIHC	--
hsa-mir-195	TS	LIHC	--
hsa-mir-199a-1		LIHC	--
hsa-mir-199a-2		LIHC	--
hsa-mir-199b		LIHC	--
hsa-mir-19b-1		LIHC	--
hsa-mir-200a		LIHC	--
hsa-mir-200b		LIHC	--
hsa-mir-203a		LIHC	--
hsa-mir-20a	O	LIHC	--
hsa-mir-21	O	LIHC	++
hsa-mir-214		LIHC	--
hsa-mir-22		LIHC	--
hsa-mir-221		LIHC	++
hsa-mir-222	O	LIHC	++
hsa-mir-223		LIHC	--
hsa-mir-224	O	LIHC	++
hsa-mir-23a		LIHC	--
hsa-mir-23b		LIHC	--
hsa-mir-24-1		LIHC	--
hsa-mir-25	O	LIHC	++
hsa-mir-26a-1	TS	LIHC	--
hsa-mir-26a-2	TS	LIHC	--
hsa-mir-26b		LIHC	--
hsa-mir-27b		LIHC	--
hsa-mir-29b-1		LIHC	--
hsa-mir-29c	TS	LIHC	--
hsa-mir-30a	TS	LIHC	--
hsa-mir-30b		LIHC	--
hsa-mir-30c-1	TS	LIHC	--
hsa-mir-30c-2	TS	LIHC	--
hsa-mir-30e		LIHC	--
hsa-mir-335		LIHC	--
hsa-mir-342		LIHC	--
hsa-mir-34a		LIHC	++
hsa-mir-378a		LIHC	--
hsa-mir-423		LIHC	++
hsa-mir-451a	TS	LIHC	--
hsa-mir-455		LIHC	--
hsa-mir-483		LIHC	--
hsa-mir-486-1	TS	LIHC	--
hsa-mir-486-2	TS	LIHC	--
hsa-mir-494		LIHC	--
hsa-mir-497	TS	LIHC	--
hsa-mir-93	O	LIHC	++
hsa-mir-96	O	LIHC	++
hsa-mir-99a	TS	LIHC	--
hsa-let-7a-1		LIHC	--
hsa-let-7a-2		LIHC	--
hsa-let-7a-3		LIHC	--
hsa-let-7b	TS	LIHC	--
hsa-let-7c	TS	LIHC	--
hsa-let-7e	TS	LIHC	--
hsa-let-7g		LIHC	--
hsa-mir-1-1	TS	LUAD	--
hsa-mir-1-2	TS	LUAD	--
hsa-mir-125a	TS	LUAD	--
hsa-mir-125b-2		LUAD	--
hsa-mir-128-1		LUAD	++
hsa-mir-128-2		LUAD	++
hsa-mir-130b		LUAD	++
hsa-mir-132		LUAD	++
hsa-mir-133a-1	TS	LUAD	--
hsa-mir-133a-2	TS	LUAD	--
hsa-mir-133b	TS	LUAD	--
hsa-mir-135b	O	LUAD	++
hsa-mir-138-1	TS	LUAD	--
hsa-mir-138-2	TS	LUAD	--
hsa-mir-139	TS	LUAD	--
hsa-mir-140	TS	LUAD	--
hsa-mir-141		LUAD	++
hsa-mir-142		LUAD	++
hsa-mir-143	TS	LUAD	UP/DOWN
hsa-mir-144	TS	LUAD	--
hsa-mir-145	TS	LUAD	--
hsa-mir-148a		LUAD	++
hsa-mir-148b		LUAD	++
hsa-mir-17	O	LUAD	++
hsa-mir-181a-1		LUAD	++
hsa-mir-181a-2		LUAD	++
hsa-mir-181c		LUAD	++
hsa-mir-182	O	LUAD	++
hsa-mir-183	O	LUAD	++
hsa-mir-193b		LUAD	++
hsa-mir-195	TS	LUAD	--
hsa-mir-199a-1		LUAD	++
hsa-mir-199a-2		LUAD	++
hsa-mir-199b		LUAD	++
hsa-mir-19a	O	LUAD	++
hsa-mir-19b-1		LUAD	++
hsa-mir-200a		LUAD	++
hsa-mir-200b		LUAD	++
hsa-mir-200c		LUAD	++
hsa-mir-204	TS	LUAD	--
hsa-mir-20a	O	LUAD	++
hsa-mir-21	O	LUAD	++
hsa-mir-210	O	LUAD	++
hsa-mir-218-1	TS	LUAD	--
hsa-mir-22		LUAD	++
hsa-mir-26b		LUAD	++
hsa-mir-27b		LUAD	++
hsa-mir-28		LUAD	++
hsa-mir-29a		LUAD	++
hsa-mir-29b-1		LUAD	++
hsa-mir-29b-2		LUAD	++
hsa-mir-301a	O	LUAD	++
hsa-mir-30a	TS	LUAD	--
hsa-mir-30b		LUAD	--
hsa-mir-30c-1	TS	LUAD	--
hsa-mir-30c-2	TS	LUAD	--
hsa-mir-30d		LUAD	--
hsa-mir-31		LUAD	++
hsa-mir-345		LUAD	++
hsa-mir-34a		LUAD	++
hsa-mir-378a		LUAD	--
hsa-mir-451a	TS	LUAD	--
hsa-mir-455		LUAD	++
hsa-mir-486-1	TS	LUAD	--
hsa-mir-486-2	TS	LUAD	--
hsa-mir-625		LUAD	++
hsa-mir-7-1		LUAD	++
hsa-mir-7-2		LUAD	++
hsa-mir-7-3		LUAD	++
hsa-mir-9-1		LUAD	++
hsa-mir-9-2		LUAD	++
hsa-mir-93	O	LUAD	++
hsa-mir-9-3		LUAD	++
hsa-mir-96	O	LUAD	++
hsa-mir-99a	TS	LUAD	--
hsa-let-7a-1		LUAD	--
hsa-let-7a-2		LUAD	UP/DOWN
hsa-let-7a-3		LUAD	--
hsa-let-7b	TS	LUAD	--
hsa-let-7c	TS	LUAD	--
hsa-let-7e	TS	LUAD	--
hsa-let-7g		LUAD	++
hsa-let-7i		LUAD	++
hsa-mir-100	TS	LUSC	--
hsa-mir-101-1	TS	LUSC	--
hsa-mir-101-2	TS	LUSC	--
hsa-mir-103a-2	O	LUSC	++
hsa-mir-106b	O	LUSC	++
hsa-mir-10a		LUSC	--
hsa-mir-1-1	TS	LUSC	--
hsa-mir-1-2	TS	LUSC	--
hsa-mir-126		LUSC	--
hsa-mir-128-1		LUSC	++
hsa-mir-128-2		LUSC	++
hsa-mir-129-1	TS	LUSC	++
hsa-mir-129-2	TS	LUSC	++
hsa-mir-130b		LUSC	++
hsa-mir-133a-1	TS	LUSC	--
hsa-mir-133a-2	TS	LUSC	--
hsa-mir-133b	TS	LUSC	--
hsa-mir-135a-1		LUSC	--
hsa-mir-135a-2		LUSC	--
hsa-mir-135b	O	LUSC	++
hsa-mir-138-1	TS	LUSC	--
hsa-mir-138-2	TS	LUSC	--
hsa-mir-139	TS	LUSC	--
hsa-mir-140	TS	LUSC	--
hsa-mir-141		LUSC	++
hsa-mir-143	TS	LUSC	--
hsa-mir-144	TS	LUSC	--
hsa-mir-145	TS	LUSC	--
hsa-mir-146b		LUSC	--
hsa-mir-148b		LUSC	++
hsa-mir-149		LUSC	++
hsa-mir-15a		LUSC	--
hsa-mir-15b		LUSC	++
hsa-mir-17	O	LUSC	++
hsa-mir-181a-1		LUSC	--
hsa-mir-181a-2		LUSC	--
hsa-mir-181c		LUSC	--
hsa-mir-182	O	LUSC	++
hsa-mir-183	O	LUSC	++
hsa-mir-18a	O	LUSC	++
hsa-mir-192		LUSC	++
hsa-mir-193b		LUSC	++
hsa-mir-195	TS	LUSC	--
hsa-mir-19a	O	LUSC	++
hsa-mir-19b-1		LUSC	++
hsa-mir-200a		LUSC	++
hsa-mir-200b		LUSC	++
hsa-mir-200c		LUSC	++
hsa-mir-203a		LUSC	++
hsa-mir-205		LUSC	++
hsa-mir-206	TS	LUSC	--
hsa-mir-20a	O	LUSC	++
hsa-mir-21	O	LUSC	++
hsa-mir-210	O	LUSC	++
hsa-mir-218-1	TS	LUSC	--
hsa-mir-218-2	TS	LUSC	--
hsa-mir-221		LUSC	++
hsa-mir-223		LUSC	--
hsa-mir-224	O	LUSC	++
hsa-mir-26a-1	TS	LUSC	--
hsa-mir-26a-2	TS	LUSC	--
hsa-mir-27b		LUSC	++
hsa-mir-28		LUSC	++
hsa-mir-29a		LUSC	--
hsa-mir-29b-2		LUSC	--
hsa-mir-29c	TS	LUSC	--
hsa-mir-301a	O	LUSC	++
hsa-mir-30a	TS	LUSC	--
hsa-mir-30b		LUSC	--
hsa-mir-30c-1	TS	LUSC	UP/DOWN
hsa-mir-30c-2	TS	LUSC	--
hsa-mir-30d		LUSC	--
hsa-mir-30e		LUSC	--
hsa-mir-31		LUSC	++
hsa-mir-324		LUSC	++
hsa-mir-331		LUSC	++
hsa-mir-345		LUSC	++
hsa-mir-375		LUSC	--
hsa-mir-423		LUSC	++
hsa-mir-451a	TS	LUSC	--
hsa-mir-455		LUSC	++
hsa-mir-486-1	TS	LUSC	--
hsa-mir-486-2	TS	LUSC	--
hsa-mir-497	TS	LUSC	--
hsa-mir-625		LUSC	++
hsa-mir-7-1		LUSC	++
hsa-mir-7-2		LUSC	++
hsa-mir-7-3		LUSC	++
hsa-mir-9-1		LUSC	++
hsa-mir-9-2		LUSC	++
hsa-mir-92a-1		LUSC	++
hsa-mir-92a-2		LUSC	++
hsa-mir-93	O	LUSC	++
hsa-mir-9-3		LUSC	++
hsa-mir-96	O	LUSC	++
hsa-mir-99a	TS	LUSC	--
hsa-let-7a-1		LUSC	--
hsa-let-7a-2		LUSC	--
hsa-let-7a-3		LUSC	--
hsa-let-7c	TS	LUSC	--
hsa-let-7g		LUSC	++
hsa-let-7i		LUSC	++
hsa-mir-103a-1	O	PRAD	++
hsa-mir-103a-2	O	PRAD	++
hsa-mir-106a		PRAD	++
hsa-mir-106b	O	PRAD	++
hsa-mir-1-1	TS	PRAD	--
hsa-mir-1-2	TS	PRAD	--
hsa-mir-126		PRAD	++
hsa-mir-128-1		PRAD	++
hsa-mir-128-2		PRAD	++
hsa-mir-130b		PRAD	++
hsa-mir-132		PRAD	++
hsa-mir-133b	TS	PRAD	--
hsa-mir-140	TS	PRAD	++
hsa-mir-141		PRAD	++
hsa-mir-142		PRAD	++
hsa-mir-143	TS	PRAD	--
hsa-mir-145	TS	PRAD	--
hsa-mir-146b		PRAD	++
hsa-mir-148a		PRAD	++
hsa-mir-148b		PRAD	++
hsa-mir-150		PRAD	++
hsa-mir-15a		PRAD	++
hsa-mir-15b		PRAD	++
hsa-mir-16-1		PRAD	++
hsa-mir-16-2		PRAD	++
hsa-mir-17	O	PRAD	++
hsa-mir-181a-1		PRAD	++
hsa-mir-181a-2		PRAD	++
hsa-mir-182	O	PRAD	++
hsa-mir-183	O	PRAD	++
hsa-mir-18a	O	PRAD	++
hsa-mir-192		PRAD	++
hsa-mir-194-1		PRAD	++
hsa-mir-194-2		PRAD	++
hsa-mir-195	TS	PRAD	++
hsa-mir-199b		PRAD	++
hsa-mir-19a	O	PRAD	++
hsa-mir-19b-1		PRAD	++
hsa-mir-19b-2		PRAD	++
hsa-mir-200c		PRAD	++
hsa-mir-203a		PRAD	++
hsa-mir-204	TS	PRAD	--
hsa-mir-20a	O	PRAD	++
hsa-mir-21	O	PRAD	++
hsa-mir-210	O	PRAD	++
hsa-mir-221		PRAD	--
hsa-mir-222	O	PRAD	--
hsa-mir-25	O	PRAD	++
hsa-mir-26b		PRAD	++
hsa-mir-27b		PRAD	--
hsa-mir-29b-2		PRAD	++
hsa-mir-29c	TS	PRAD	++
hsa-mir-30b		PRAD	++
hsa-mir-30c-1	TS	PRAD	++
hsa-mir-30c-2	TS	PRAD	++
hsa-mir-30d		PRAD	++
hsa-mir-30e		PRAD	++
hsa-mir-32		PRAD	++
hsa-mir-320a		PRAD	++
hsa-mir-324		PRAD	++
hsa-mir-335		PRAD	++
hsa-mir-342		PRAD	++
hsa-mir-345		PRAD	++
hsa-mir-375		PRAD	++
hsa-mir-423		PRAD	++
hsa-mir-497	TS	PRAD	++
hsa-mir-7-1		PRAD	++
hsa-mir-7-2		PRAD	++
hsa-mir-7-3		PRAD	++
hsa-mir-92a-1		PRAD	++
hsa-mir-92a-2		PRAD	++
hsa-mir-93	O	PRAD	++
hsa-mir-96	O	PRAD	++
hsa-let-7a-1		PRAD	++
hsa-let-7a-2		PRAD	++
hsa-let-7a-3		PRAD	++
hsa-let-7b	TS	PRAD	++
hsa-let-7d		PRAD	++
hsa-let-7g		PRAD	++
hsa-let-7i		PRAD	++
hsa-mir-103a-1	O	STAD	++
hsa-mir-103a-2	O	STAD	++
hsa-mir-106b	O	STAD	++
hsa-mir-107		STAD	++
hsa-mir-1-1	TS	STAD	--
hsa-mir-1-2	TS	STAD	--
hsa-mir-125a	TS	STAD	--
hsa-mir-128-1		STAD	++
hsa-mir-128-2		STAD	++
hsa-mir-129-1	TS	STAD	--
hsa-mir-129-2	TS	STAD	--
hsa-mir-130b		STAD	++
hsa-mir-132		STAD	++
hsa-mir-133a-1	TS	STAD	--
hsa-mir-133a-2	TS	STAD	--
hsa-mir-133b	TS	STAD	--
hsa-mir-135b	O	STAD	++
hsa-mir-139	TS	STAD	--
hsa-mir-141		STAD	++
hsa-mir-142		STAD	++
hsa-mir-143	TS	STAD	--
hsa-mir-145	TS	STAD	--
hsa-mir-146b		STAD	++
hsa-mir-148b		STAD	++
hsa-mir-155	O	STAD	++
hsa-mir-15a		STAD	++
hsa-mir-15b		STAD	++
hsa-mir-16-1		STAD	++
hsa-mir-16-2		STAD	++
hsa-mir-17	O	STAD	++
hsa-mir-181a-1		STAD	++
hsa-mir-181a-2		STAD	++
hsa-mir-181b-1		STAD	++
hsa-mir-181b-2		STAD	++
hsa-mir-182	O	STAD	++
hsa-mir-183	O	STAD	++
hsa-mir-18a	O	STAD	++
hsa-mir-192		STAD	++
hsa-mir-194-1		STAD	++
hsa-mir-194-2		STAD	++
hsa-mir-195	TS	STAD	--
hsa-mir-199a-1		STAD	++
hsa-mir-199a-2		STAD	++
hsa-mir-199b		STAD	++
hsa-mir-19a	O	STAD	++
hsa-mir-19b-1		STAD	++
hsa-mir-19b-2		STAD	++
hsa-mir-200a		STAD	++
hsa-mir-200b		STAD	++
hsa-mir-200c		STAD	++
hsa-mir-204	TS	STAD	--
hsa-mir-20a	O	STAD	++
hsa-mir-21	O	STAD	++
hsa-mir-214		STAD	++
hsa-mir-22		STAD	++
hsa-mir-221		STAD	++
hsa-mir-222	O	STAD	++
hsa-mir-223		STAD	++
hsa-mir-23a		STAD	++
hsa-mir-24-1		STAD	++
hsa-mir-24-2		STAD	++
hsa-mir-25	O	STAD	++
hsa-mir-27a		STAD	++
hsa-mir-28		STAD	--
hsa-mir-29a		STAD	++
hsa-mir-29b-1		STAD	++
hsa-mir-301a	O	STAD	++
hsa-mir-30a	TS	STAD	--
hsa-mir-30c-1	TS	STAD	--
hsa-mir-30c-2	TS	STAD	--
hsa-mir-32		STAD	++
hsa-mir-320a		STAD	++
hsa-mir-324		STAD	++
hsa-mir-331		STAD	++
hsa-mir-335		STAD	++
hsa-mir-342		STAD	++
hsa-mir-345		STAD	++
hsa-mir-34a		STAD	++
hsa-mir-34c		STAD	++
hsa-mir-423		STAD	++
hsa-mir-7-1		STAD	++
hsa-mir-7-2		STAD	++
hsa-mir-7-3		STAD	++
hsa-mir-92a-1		STAD	++
hsa-mir-92a-2		STAD	++
hsa-mir-93	O	STAD	++
hsa-mir-96	O	STAD	++
hsa-mir-98		STAD	++
hsa-let-7a-1		STAD	++
hsa-let-7a-2		STAD	++
hsa-let-7a-3		STAD	++
hsa-let-7d		STAD	++
hsa-let-7f-1		STAD	++
hsa-let-7f-2		STAD	++
hsa-let-7i		STAD	++
hsa-mir-100	TS	THCA	--
hsa-mir-101-1	TS	THCA	--
hsa-mir-101-2	TS	THCA	--
hsa-mir-106a		THCA	--
hsa-mir-106b	O	THCA	--
hsa-mir-10a		THCA	--
hsa-mir-10b		THCA	--
hsa-mir-126		THCA	--
hsa-mir-128-1		THCA	--
hsa-mir-128-2		THCA	--
hsa-mir-130a		THCA	--
hsa-mir-130b		THCA	--
hsa-mir-133a-1	TS	THCA	--
hsa-mir-133a-2	TS	THCA	--
hsa-mir-133b	TS	THCA	--
hsa-mir-135b	O	THCA	++
hsa-mir-138-1	TS	THCA	--
hsa-mir-138-2	TS	THCA	--
hsa-mir-139	TS	THCA	--
hsa-mir-140	TS	THCA	--
hsa-mir-142		THCA	--
hsa-mir-143	TS	THCA	--
hsa-mir-144	TS	THCA	--
hsa-mir-145	TS	THCA	--
hsa-mir-146b		THCA	++
hsa-mir-148a		THCA	--
hsa-mir-148b		THCA	--
hsa-mir-150		THCA	--
hsa-mir-152		THCA	--
hsa-mir-15a		THCA	++
hsa-mir-15b		THCA	--
hsa-mir-16-1		THCA	++
hsa-mir-16-2		THCA	--
hsa-mir-17	O	THCA	++
hsa-mir-181a-1		THCA	++
hsa-mir-181a-2		THCA	++
hsa-mir-181b-1		THCA	++
hsa-mir-181b-2		THCA	++
hsa-mir-182	O	THCA	++
hsa-mir-183	O	THCA	++
hsa-mir-18a	O	THCA	--
hsa-mir-192		THCA	--
hsa-mir-193a		THCA	--
hsa-mir-193b		THCA	--
hsa-mir-194-1		THCA	--
hsa-mir-194-2		THCA	--
hsa-mir-195	TS	THCA	--
hsa-mir-199a-1		THCA	--
hsa-mir-199a-2		THCA	--
hsa-mir-199b		THCA	--
hsa-mir-19b-1		THCA	--
hsa-mir-19b-2		THCA	--
hsa-mir-204	TS	THCA	--
hsa-mir-21	O	THCA	++
hsa-mir-214		THCA	--
hsa-mir-215		THCA	--
hsa-mir-218-1	TS	THCA	--
hsa-mir-218-2	TS	THCA	--
hsa-mir-221		THCA	++
hsa-mir-222	O	THCA	++
hsa-mir-223		THCA	--
hsa-mir-224	O	THCA	++
hsa-mir-23b		THCA	++
hsa-mir-24-2		THCA	--
hsa-mir-25	O	THCA	--
hsa-mir-26a-1	TS	THCA	--
hsa-mir-26a-2	TS	THCA	--
hsa-mir-26b		THCA	--
hsa-mir-27a		THCA	--
hsa-mir-28		THCA	--
hsa-mir-29b-1		THCA	--
hsa-mir-29b-2		THCA	--
hsa-mir-29c	TS	THCA	--
hsa-mir-30a	TS	THCA	--
hsa-mir-30b		THCA	--
hsa-mir-30c-1	TS	THCA	--
hsa-mir-30c-2	TS	THCA	--
hsa-mir-30e		THCA	++
hsa-mir-31		THCA	++
hsa-mir-331		THCA	--
hsa-mir-342		THCA	--
hsa-mir-345		THCA	--
hsa-mir-34a		THCA	++
hsa-mir-34c		THCA	--
hsa-mir-375		THCA	++
hsa-mir-451a	TS	THCA	--
hsa-mir-455		THCA	--
hsa-mir-486-1	TS	THCA	--
hsa-mir-486-2	TS	THCA	--
hsa-mir-497	TS	THCA	--
hsa-mir-7-1		THCA	--
hsa-mir-7-2		THCA	--
hsa-mir-7-3		THCA	--
hsa-mir-9-1		THCA	--
hsa-mir-9-2		THCA	--
hsa-mir-92a-1		THCA	--
hsa-mir-9-3		THCA	--
hsa-mir-96	O	THCA	++
hsa-mir-99a	TS	THCA	--
hsa-let-7a-1		THCA	--
hsa-let-7a-2		THCA	--
hsa-let-7a-3		THCA	--
hsa-let-7b	TS	THCA	--
hsa-let-7c	TS	THCA	--
hsa-let-7e	TS	THCA	++
hsa-let-7i		THCA	--
hsa-mir-100	TS	UCEC	--
hsa-mir-101-1	TS	UCEC	--
hsa-mir-101-2	TS	UCEC	--
hsa-mir-103a-1	O	UCEC	++
hsa-mir-103a-2	O	UCEC	++
hsa-mir-106a		UCEC	++
hsa-mir-106b	O	UCEC	++
hsa-mir-107		UCEC	++
hsa-mir-10b		UCEC	--
hsa-mir-1-1	TS	UCEC	--
hsa-mir-1-2	TS	UCEC	--
hsa-mir-125a	TS	UCEC	++
hsa-mir-126		UCEC	--
hsa-mir-128-1		UCEC	++
hsa-mir-128-2		UCEC	++
hsa-mir-130b		UCEC	++
hsa-mir-133a-1	TS	UCEC	--
hsa-mir-133a-2	TS	UCEC	--
hsa-mir-133b	TS	UCEC	--
hsa-mir-135b	O	UCEC	++
hsa-mir-139	TS	UCEC	--
hsa-mir-140	TS	UCEC	--
hsa-mir-141		UCEC	++
hsa-mir-142		UCEC	++
hsa-mir-143	TS	UCEC	--
hsa-mir-145	TS	UCEC	--
hsa-mir-148b		UCEC	++
hsa-mir-15a		UCEC	++
hsa-mir-15b		UCEC	++
hsa-mir-16-1		UCEC	++
hsa-mir-16-2		UCEC	++
hsa-mir-17	O	UCEC	++
hsa-mir-181a-1		UCEC	++
hsa-mir-181a-2		UCEC	++
hsa-mir-181b-1		UCEC	++
hsa-mir-181b-2		UCEC	++
hsa-mir-181c		UCEC	++
hsa-mir-182	O	UCEC	++
hsa-mir-183	O	UCEC	++
hsa-mir-18a	O	UCEC	++
hsa-mir-192		UCEC	++
hsa-mir-193b		UCEC	++
hsa-mir-194-1		UCEC	++
hsa-mir-194-2		UCEC	++
hsa-mir-195	TS	UCEC	--
hsa-mir-19a	O	UCEC	++
hsa-mir-19b-1		UCEC	++
hsa-mir-19b-2		UCEC	++
hsa-mir-200a		UCEC	++
hsa-mir-200b		UCEC	++
hsa-mir-200c		UCEC	++
hsa-mir-203a		UCEC	++
hsa-mir-205		UCEC	++
hsa-mir-20a	O	UCEC	++
hsa-mir-21	O	UCEC	++
hsa-mir-210	O	UCEC	++
hsa-mir-215		UCEC	++
hsa-mir-22		UCEC	++
hsa-mir-224	O	UCEC	++
hsa-mir-23a		UCEC	++
hsa-mir-24-1		UCEC	UP/DOWN
hsa-mir-24-2		UCEC	++
hsa-mir-25	O	UCEC	++
hsa-mir-27a		UCEC	++
hsa-mir-29a		UCEC	UP/DOWN
hsa-mir-29c	TS	UCEC	--
hsa-mir-301a	O	UCEC	++
hsa-mir-32		UCEC	++
hsa-mir-324		UCEC	++
hsa-mir-331		UCEC	++
hsa-mir-342		UCEC	++
hsa-mir-345		UCEC	++
hsa-mir-375		UCEC	++
hsa-mir-423		UCEC	++
hsa-mir-455		UCEC	++
hsa-mir-7-1		UCEC	++
hsa-mir-7-2		UCEC	++
hsa-mir-7-3		UCEC	++
hsa-mir-9-1		UCEC	++
hsa-mir-9-2		UCEC	++
hsa-mir-92a-1		UCEC	++
hsa-mir-92a-2		UCEC	++
hsa-mir-93	O	UCEC	++
hsa-mir-9-3		UCEC	++
hsa-mir-96	O	UCEC	++
hsa-mir-98		UCEC	++
hsa-mir-99a	TS	UCEC	--
hsa-mir-99b		UCEC	++
hsa-let-7a-1		UCEC	++
hsa-let-7a-2		UCEC	++
hsa-let-7a-3		UCEC	++
hsa-let-7d		UCEC	++
hsa-let-7f-1		UCEC	++
hsa-let-7f-2		UCEC	++
hsa-let-7g		UCEC	++
